,dt,max,min,mean,sum
262,2005-09-20,1524278.0293410465,948.0185865191148,265753.44711904763,7972603.413571429
263,2005-09-21,1365967.88304829,694.2183350100604,230389.46748608316,6911684.024582495
264,2005-09-22,1390738.7875955736,1157.0305583501006,232041.25924061035,6961237.77721831
265,2005-09-23,12242359.691841047,1074.918712273642,1253095.3635476748,45111433.0877163
266,2005-09-24,15602234.603737423,2269.272837022133,1718196.0606261177,61855058.18254024
267,2005-09-25,8926490.757671027,1313.78953722334,988920.4046987481,35601134.56915493
268,2005-09-26,2817129.045814889,477.7416498993964,323895.1533241113,9716854.59972334
269,2005-09-27,2509363.3961217306,470.2769366197183,295906.01182293764,8877180.354688128
270,2005-09-28,2135754.496473843,604.6417756539236,260232.59494215294,7806977.848264588
271,2005-09-29,2206558.7948742458,716.6124748490945,269013.88458534545,8070416.537560363
272,2005-09-30,6740336.010075454,1418.295523138833,1080646.8429500617,38903286.34620222
273,2005-10-01,10016976.227128517,1556.9922941767072,1513802.8923782634,54496904.12561748
274,2005-10-02,5315956.0980722895,819.4696285140564,863538.4288310186,31087383.43791667
275,2005-10-03,1597481.543549197,372.4861947791165,282091.5430190764,8462746.290572291
276,2005-10-04,1768761.1255220887,521.4806726907632,310971.4903264726,9329144.709794179
277,2005-10-05,1424896.7699497992,446.9834337349398,242616.98449135254,7521126.5192319285
278,2005-10-06,1526511.0038855425,514.0309487951808,255662.60453815266,7925540.740682732
279,2005-10-07,5991923.185130524,357.5867469879518,1134257.1386662035,44236028.40798193
280,2005-10-08,10586400.34292169,476.7823293172692,1648703.0561842243,64299419.19118475
281,2005-10-09,7299512.132786145,178.7933734939759,1068316.0413174494,41664325.611380525
282,2005-10-10,4046472.4881425705,89.39668674698795,538356.6731721481,19919196.90736948
283,2005-10-11,1245039.5758835345,506.58122489959845,270214.72491637984,9457515.372073295
284,2005-10-12,1295511.4552761046,178.7933734939759,271756.7326230637,9511485.64180723
285,2005-10-13,2056578.2283383536,119.19558232931728,334538.91890935175,11708862.16182731
286,2005-10-14,6126119.531495985,1093.6194678714862,999670.5795834622,38987152.60375503
287,2005-10-15,7587458.860798194,1750.6851154618478,1410068.9159154568,54992687.72070282
288,2005-10-16,5228625.964733937,446.9834337349398,822750.0666768356,32087252.600396592
289,2005-10-17,1020083.243298193,286.06939759036146,249600.6152098394,8736021.532344379
290,2005-10-18,987389.3850100402,365.03647088353415,247070.73154475045,8647475.604066266
291,2005-10-19,897793.0456626507,421.6543724899599,228198.49499454966,7986947.324809238
292,2005-10-20,1001998.2935692772,385.8956977911647,254821.59456511767,8918755.809779119
293,2005-10-21,8727761.278488956,295.00906626506026,939796.5046292313,39471453.194427714
294,2005-10-22,8841108.827560242,493.1717218875503,1285531.8051455824,53992335.81611446
295,2005-10-23,5508690.884864459,175.813483935743,759146.3051917193,31884144.818052214
296,2005-10-24,1541526.667369478,165.38387048192774,220564.08998764292,8601999.509518074
297,2005-10-25,1314831.5692269078,181.77326305220888,205833.12056765525,8027491.702138555
298,2005-10-26,1089335.8766315265,199.6526004016065,194180.07143162398,7573022.785833335
299,2005-10-27,997458.4318273092,129.62519578313257,199199.2369479199,7768770.2409688765
300,2005-10-28,18046169.446204823,205.61237951807232,1106429.9114951855,48682916.105788164
301,2005-10-29,16481746.79741466,308.4185692771085,1323736.1564745347,58244390.88487952
302,2005-10-30,12741553.317846388,98.33635542168676,868347.1992682093,38207276.76780121
303,2005-10-31,6744436.185215864,98.33635542168676,400952.29336917115,14434282.561290162
304,2005-11-01,3937073.787373482,75.10045546558706,302391.8587647604,10886106.915531376
305,2005-11-02,3373793.3352176114,100.63461032388663,280218.616178447,10087870.18242409
306,2005-11-03,3226560.3942864374,37.55022773279353,281354.1767875619,10128750.364352228
307,2005-11-04,15878653.018081984,37.55022773279353,1491886.7402147725,61167356.34880567
308,2005-11-05,26067871.265156887,483.6469331983806,2058113.1084807944,84382637.44771257
309,2005-11-06,18208607.09867409,258.34556680161944,1269707.3180689001,52058000.040824905
310,2005-11-07,2951395.3294787453,46.56228238866397,333035.13933085924,11989265.015910933
311,2005-11-08,3350414.5634311745,118.65871963562756,353348.64430499333,12720551.194979759
312,2005-11-09,5443848.771589069,163.71899291497976,435744.5339254842,16122547.755242916
313,2005-11-10,4409843.170602227,123.16474696356278,490770.67823996063,18158515.094878543
314,2005-11-11,16993839.20740891,126.16876518218626,1603721.9476033836,67356321.79934211
315,2005-11-12,18658642.072024293,198.26520242914984,1790620.0166175053,75206040.69793522
316,2005-11-13,11891499.24298583,139.68684716599194,1025296.4872634712,43062452.46506579
317,2005-11-14,1666943.227596154,30.040182186234823,255722.04402574137,9461715.62895243
318,2005-11-15,1510352.769913968,30.040182186234823,251848.89026575667,9318408.939832997
319,2005-11-16,1396012.3264676116,30.040182186234823,233391.87757180768,8635499.470156884
320,2005-11-17,1405037.8992054658,40.55424595141701,224910.8846231809,8321702.731057693
321,2005-11-18,60258146.6766751,5940.446027327936,2710786.516188982,94877528.06661437
322,2005-11-19,55152475.25604758,112.65068319838058,2829314.22119529,104684626.18422572
323,2005-11-20,38824626.88770749,112.65068319838058,1868534.3247365686,69135770.01525304
324,2005-11-21,12099015.319519231,689.4221811740891,689337.6931616904,22058806.181174092
325,2005-11-22,13521599.68913968,2565.431558704454,824006.7518476559,25544209.307277333
326,2005-11-23,21223963.984063767,375.5022773279353,1456527.2180159208,53891507.06658907
327,2005-11-24,18638674.362925105,779.5427277327937,1439864.7758107008,51835131.929185234
328,2005-11-25,34202703.03488867,3320.9421406882598,2754297.1046825806,99154695.7685729
329,2005-11-26,30347099.723613363,5226.991700404858,2624027.938076923,94465005.77076924
330,2005-11-27,17650857.044058707,225.30136639676115,1344042.336966759,51073608.804736845
331,2005-11-28,3666964.485227733,225.30136639676115,322127.9370852938,11918733.672155872
332,2005-11-29,3222150.495541498,808.0809008097167,326162.56552342395,11415689.793319838
333,2005-11-30,2924881.8646811745,1108.482722672065,297155.4652025738,10400441.282090083
334,2005-12-01,2781657.4929878046,1134.1023577235771,296810.83156750875,10388379.104862805
335,2005-12-02,8100223.538231707,696.7490548780488,1143987.2520689862,38895566.57034553
336,2005-12-03,13401435.706041668,1667.9750101626016,1629169.751637823,55391771.55568598
337,2005-12-04,8476852.59714939,1179.3458028455284,950711.2465766977,32324182.383607723
338,2005-12-05,1718192.218018293,155.33582825203254,249179.49935245173,7973743.9792784555
339,2005-12-06,1740664.637210366,401.1585467479675,259593.31507621953,8306986.082439025
340,2005-12-07,1692774.4505487806,113.10861280487804,243279.98975149266,7784959.672047765
341,2005-12-08,1690905.896265244,239.79025914634147,246473.2815339177,7887145.0090853665
342,2005-12-09,34696980.89548781,4943.60043699187,1666429.276238426,59991453.94458334
343,2005-12-10,38194538.99367378,8658.087281504066,2097913.875870455,75524899.53133638
344,2005-12-11,25974926.923155487,3821.56299796748,1331646.0053902722,47939256.1940498
345,2005-12-12,6942081.83,1627.2559095528457,425841.4381343687,13626926.020299798
346,2005-12-13,6072688.312881098,1416.1198323170731,402668.49960032396,12885391.987210367
347,2005-12-14,14712783.784375,1814.262149390244,773565.1583236327,25527650.22467988
348,2005-12-15,9494721.528125,1565.4232012195123,620700.9931887472,20483132.775228657
349,2005-12-16,21819767.41504065,4616.339517276423,1588477.2787598723,55596704.75659553
350,2005-12-17,30321674.32398374,7668.763948170732,2233454.216295877,78170897.5703557
351,2005-12-18,23460573.73640752,4830.491824186992,1684398.6823648375,58953953.88276931
352,2005-12-19,8502939.967606708,2708.57424796748,780137.9340890615,25744551.824939027
353,2005-12-20,7910001.997560976,3516.9238008130083,793452.7600853044,26183941.082815044
354,2005-12-21,7450669.429075204,1559.3907418699189,1013601.8799947648,33448862.03982724
355,2005-12-22,8691412.095066058,1880.6192022357725,1146540.6291021977,36689300.13127033
356,2005-12-23,11960670.261051828,3102.192220528455,1813052.4127884023,59830729.62201727
357,2005-12-24,7149622.561463416,2061.5929827235773,1013366.2027760841,33441084.691610776
358,2005-12-25,13347721.179878049,2384.329557926829,1960701.5266967423,72545956.48777947
359,2005-12-26,18120542.69268293,3041.86762703252,2631109.032627582,97351034.20722054
360,2005-12-27,13911042.790746951,2919.7103252032525,2050686.7397826998,69723349.15261179
361,2005-12-28,13206456.063058944,3222.841407520325,1891920.670115273,66217223.45403455
362,2005-12-29,13384715.23683943,3548.5942123983737,1918366.153212979,67142815.36245427
363,2005-12-30,14634085.82781504,5682.576707317074,2290974.4917961676,80184107.21286586
364,2005-12-31,11680655.5629624,4106.596702235773,1822570.2678514807,63789959.37480183
365,2006-01-01,13164249.085098336,5344.74073121533,2183192.0775043587,76411722.71265255
366,2006-01-02,12011775.707478568,3402.015032778618,1857254.3630800375,65003902.70780131
367,2006-01-03,3859284.468224912,2351.326712052446,692118.7447979888,23532037.32313162
368,2006-01-04,2843898.9757337365,1974.1565456379224,529201.1743267776,17992839.927110437
369,2006-01-05,2922652.705163893,2414.1884064548663,561711.235323485,19098182.00099849
370,2006-01-06,11404985.241775088,5299.839520927888,1800482.733418274,57615447.46938477
371,2006-01-07,10897523.73676248,7336.85776096823,2491319.0506773195,79722209.62167422
372,2006-01-08,6967241.474831064,4731.090857286939,1496246.1641387735,47879877.25244075
373,2006-01-09,2615669.117256682,1538.6148058497229,417706.65165736893,13366612.853035806
374,2006-01-10,2152068.6111598588,2210.6362531517902,416429.2122246911,13325734.791190116
375,2006-01-11,1863696.5749167928,2010.077513867877,394301.802250851,12617657.672027232
376,2006-01-12,1757949.734568835,1893.3343671205243,390178.5615278303,12485713.96889057
377,2006-01-13,6560355.687448311,9266.11309631871,1554016.1023973473,51282531.37911246
378,2006-01-14,8094230.422198689,12114.346535552191,2305010.478674338,76065345.79625316
379,2006-01-15,6478970.747095311,8203.451119515885,1729123.0668547808,57061061.20620777
380,2006-01-16,6701508.628814927,4009.678078668684,1244153.213041764,41057056.030378215
381,2006-01-17,1112707.3690821987,3063.759248613212,347654.28779993585,11472591.497397883
382,2006-01-18,1117309.7431366616,2640.1911649016643,326195.86333929305,10764463.490196671
