,Date,max,min,mean,sum
4477,2011-11-08,3197015.209914689,562.8162180082218,300547.7321977526,12322457.020107856
4478,2011-11-09,1811074.3694028205,789.7794014940548,204722.75939309556,8598355.894510014
4479,2011-11-10,3119199.6361269513,554.9446625116033,291802.2169104136,12255693.110237371
4480,2011-11-11,19470926.181103304,3107.9524952481993,1766994.8696302946,68912799.9155815
4481,2011-11-12,13287244.71495823,3535.6403438978036,1703135.5637380613,66422286.98578439
4482,2011-11-13,9494272.72646864,1582.1826548203157,1003469.0231476477,39135291.90275826
4483,2011-11-14,3200696.4740352742,583.8070326658711,238567.6868821502,10258410.535932459
4484,2011-11-15,3450537.0216461127,405.38510807585203,284102.6522862615,12216414.048309244
4485,2011-11-16,2447567.0349334753,592.9905140785926,218063.0170511797,9376709.733200727
4486,2011-11-17,2080782.723087124,308.3025902842241,197884.10147616806,8509016.363475226
4487,2011-11-18,93989686.5544888,467.04562613269684,3430722.8223232753,123506021.6036379
4488,2011-11-19,52515348.8166512,516.898810944614,2721364.3701591794,97969117.32573046
4489,2011-11-20,34701138.42551386,348.9722936834196,1753067.0183865242,63110412.66191487
4490,2011-11-21,12927037.087729305,409.3208858241613,556793.8845630133,23385343.15164656
4491,2011-11-22,14434359.93785086,369.96310834106885,683257.0769547637,28696797.232100077
4492,2011-11-23,16317162.544790702,107.57792512045266,1165560.430325276,45456856.782685764
4493,2011-11-24,10144741.338783542,116.76140653317421,958122.7748053095,37366788.21740707
4494,2011-11-25,21895008.43021262,920.9719931043629,2391368.96407171,83697913.74250986
4495,2011-11-26,21468326.828740664,1327.6690270963181,2327679.8920204123,83796476.11273484
4496,2011-11-27,11322425.74744729,594.3024399946956,1283676.7026384023,44928684.59234408
4497,2011-11-28,3313621.809189763,184.98155417053442,283828.78494115215,10785493.827763781
4498,2011-11-29,3467320.4898908194,144.31185077133892,308848.5931358864,11736246.539163684
4499,2011-11-30,2822115.3243513242,112.82562878486497,248217.5571551542,9432267.17189586
4500,2011-12-01,2944820.3811106384,173.60241412315222,272762.3083650658,9819443.101142367
4501,2011-12-02,7170488.5798105225,1302.0181059236415,831044.1129012778,29086543.951544724
4502,2011-12-03,9311969.05024549,574.7292043319508,1327448.3419819158,46460691.96936705
4503,2011-12-04,5264486.6324355705,327.4772811868553,791310.5033941802,27695867.618796308
4504,2011-12-05,1508879.849219221,163.081055691446,183680.41815040342,6796175.471564926
4505,2011-12-06,1729594.2760599456,198.5906403984544,226864.19638918672,8393975.266399909
4506,2011-12-07,1406036.2008889008,128.88664078840088,187724.63638785016,6945811.546350456
4507,2011-12-08,1480048.696776738,243.30641373320574,195425.1333157043,7230729.932681059
4508,2011-12-09,6611947.800595555,405.07229962068845,734678.9064786505,29387156.25914602
4509,2011-12-10,6936217.382630544,612.8691286468858,1060598.4676704467,42423938.706817865
4510,2011-12-11,3574267.2251364817,211.74233843808716,619400.0974971419,24776003.899885677
4511,2011-12-12,1299752.068351413,440.5818843276969,197345.0015454428,7499110.058726826
4512,2011-12-13,1728392.2108591234,435.3212051118438,239597.77332495604,9104715.38634833
4513,2011-12-14,1349493.1055071077,921.9340325782553,200183.1725921272,7606960.558500834
4514,2011-12-15,1391452.282932752,585.2505627636571,222332.35547802076,8670961.86364281
4515,2011-12-16,19211976.82323904,4854.291746428446,1367560.9813389443,49232195.328201994
4516,2011-12-17,19325714.023055587,6616.619283739233,1700550.5775641445,61219820.7923092
4517,2011-12-18,13591798.57181219,4875.334463291858,1200038.2684270635,43201377.66337428
4518,2011-12-19,6478694.796057996,3596.989413839555,569891.5477062861,21085987.265132584
4519,2011-12-20,6788994.644435287,3403.659452656954,619435.0250303479,22919095.92612287
4520,2011-12-21,11732689.003797548,2550.114249884789,998338.3502272642,38935195.658863306
4521,2011-12-22,8444839.458568187,3302.391377751782,918417.3359670627,35818276.10271545
4522,2011-12-23,12725462.027526677,1934.6147816299765,1392937.177086032,54324549.90635525
4523,2011-12-24,8189655.74633539,1094.221276897444,843217.7813030893,32885493.470820487
4524,2011-12-25,17956868.19388316,1829.4011973129145,1907620.326445862,80120053.7107262
4525,2011-12-26,19151705.22146301,3811.362091885569,2127598.7613981026,91486746.74011841
4526,2011-12-27,12710033.770556385,3318.173415399341,1580495.8304561386,67961320.70961396
4527,2011-12-28,11202903.097176434,2989.3809644085222,1450982.6488901984,62392253.902278535
4528,2011-12-29,10845637.21992981,3312.9127361834876,1434972.475159668,61703816.43186572
4529,2011-12-30,13981764.831064556,5559.22276135276,1819040.4820611654,74580659.76450779
4530,2011-12-31,11484023.273113191,3383.9319055975047,1528334.9957426882,62661734.82545022
4531,2012-01-01,13171023.706866963,3575.993677894691,1566284.9754236,64217683.9923676
4532,2012-01-02,11497336.890653608,5371.192261707807,1434316.114594817,58806960.698387496
4533,2012-01-03,4488673.423550174,3143.8889859484266,667084.8159500776,24682138.190152872
